name,phone,address,website,rating,user_ratings_total
"Örsan Emlak Ofisi","","Çekirge, Çekirge Cd. No:95, Osmangazi̇","https://orsanemlakofisi.sahibinden.com/",5,1
"Akser Emlak - Gayrimenkul & Proje Danışmanlık","(0224) 233 61 61","Kükürtlü, Kükürtlü Cd. TANER APT No:54, Osmangazi̇","",5,2
"Tarkan Emlak","(0224) 223 00 15","Şehabettinpaşa, Bursalı Tahir Cd. No: 51, Osmangazi̇","",2.8,4
"Olay Emlak","(0224) 253 91 99","Gazyılar Mah., 11. Ata Sk. Petek Bozkaya İşhanı 102/c, Osmangazi̇","http://www.olayemlak.com/",2.5,6
"Bursa Emlak 24","0544 800 85 44","Emek Adnan Menderes, Osmangazi","",5,2
"Morina Emlak Gayrimenkul","0533 913 16 00","Elmasbahçeler, 3. Yüksel Sk. no:47, Osmangazi̇","https://morinagayrimenkul.sahibinden.com/",4,4
"Asamer Emlak Tapu Müşavirliği","0533 361 85 11","Beyazıt, Taraklı Sk. 3B, Yıldırım","",5,2
"Yılmaz Emlak Ofisi","0537 763 14 68","Hacıseyfettin Mah., İncirli Cd., Yıldırım","",5,1
"Gayrimenkul Emlak","(0224) 265 12 79","Demirtaşpaşa, 2. Sabunevi Sk. No:52, Osmangazi̇","",5,2
"Nisanur Emlak Gayrimenkul Yatırım Danışmanlığı","0532 250 50 50","Hocahasan, Kanarbaşı Sk., Osmangazi̇","",3.5,15
"Gaye Emlak","(0224) 230 00 00","Kükürtlü, Belde Cd. No:40, Osmangazi̇","https://bursagayeemlak.sahibinden.com/",5,1
"Çağ Emlak","(0224) 225 52 27","Tahtakale, Maksem Cd. No:93, Osmangazi̇","http://www.cagemlak.com/",4.6,9
"BURSA TOPRAK EMLAK GAYRİMENKUL","0532 120 14 23","Hacı İlyas, 4. Aral Sk. no 27, Osmangazi̇","",5,2
"Royal Emlak","0552 577 17 41","Ahmetpaşa, Fevzi Çakmak Cd. No:69, Osmangazi̇","https://www.royal-emlak.com/","",""
"Altan Emlak","(0224) 224 07 21","ALTAN EMLAK, Ulu, Takunyacılar Sk. NO:13/A, Osmangazi̇","",3,2
"Esin Emlak","(0224) 254 00 22","Hocahasan, 2. İçli Sk. No:4 D:B, Osmangazi̇","https://esinesen.sahibinden.com/",5,2
"Yeşil Cadde Emlak","(0224) 327 33 44","Kurtoğlu, Karşı Sk. 3 A, Yıldırım","","",""
"Gölyazı Emlak Gayrimenkul","0532 579 47 84","Yahşibey Mah Altıparmak Cad., Çıkıntı Sokak Altıparmak Sitesi 6/B D:C Blok, Osmangazi̇","",4.8,5
"Gedikli Emlak","","Millet, 8. Ova Sk., Yıldırım","",5,2
"Alay Emlak Ofisi","0505 349 92 10","Güllük, Girne Cd. No:33/A, Yıldırım","",5,10
"YAZGAN EMLAK","","Siteler, Selçuk Bey Cd. 144/A, Yıldırım","",4.6,14
"Aladan emlak","0545 854 96 76","Millet, 8. Ova Sk. 42C, Yıldırım","",5,11
"el alemiy emlak","","Millet, 8. Ova Sk. No:42, Yıldırım","",5,1
"Mesken Emlak","(0224) 369 33 88","Selçukbey, Selçuk Bey Cd. No:45, Yıldırım","",4.4,12
"Oguz Real Estate","(0224) 366 48 03","Ertuğrulgazi, Selçuk Bey Cd. No:108, Yıldırım","https://oguzemlakbursa.sahibinden.com/",5,2
"Tez-El Emlak İnşaat","(0224) 367 13 36","Çınarönü, Çınarönü Cd. No:21, Yıldırım","",5,1
"Uygun Emlak","0532 481 38 24","Selçukbey, Selçuk Bey Cd. 91/A, Yıldırım","",5,2
