name,phone,address,website,rating,user_ratings_total
"Kelebek Emlak","0537 214 38 11","Ofis Ekinciler Cad./kışla Sok. 2. Çalışkanlar, Apt. 13/B, Yenişehir","http://www.firmasec.com/firma/cfrfz-kelebek-emlak/",4,4
"Diyarbakir Emlak Ofisi","0553 327 22 75","DİYARBAKIR EMLAK, DİCLE KENT MAH.mastfiros cad.617.sokak Nurçay prestij sitesi C blok altı, Kayapınar","","",""
"GÜVEN EMLAK","0539 367 86 02","ecer-altuntop5 sitesi alti guven emlak, Şehitlik, Şehitlik Cd., Yenişehir","http://www.firmasec.com/firma/zfdkk-guven-emlak/",4.8,4
"Merkez Harita Emlak Ve Danişmanlik","","Bağcılar, Yeni Hal 2. Cd. No:9, Bağlar","",4,4
"Konak Emlak","","Peyas, Yılmaz Güney Cd. No:46, Kayapınar","",4,2
"Diyarbakır emlak","0553 044 72 24","5 Nisan, 865. Sk. No:9, Bağlar","",5,1
"Şitil Emlak","","Kooperatifler, Kurt İsmail Paşa 2. Sk. No:7, Yenişehir","",5,2
"Aras Emlak & Arsa Ofisi","","Peyas, Fırat Blv. 94D, Kayapınar","https://arasyapigayrimenkul.sahibinden.com/",5,2
"Furkan Emlak 2","0531 458 59 70","Arçelik yanı, Yenişehir, Şehitlik Cd., Yenişehir","","",""
"Emin Emlak Ofisi","","Peyas, 356. Sk., Kayapınar","",3,1
"Trend Emlak & Gayrimenkul ve Arsa Ofisi","0532 352 24 46","Talaytepe, X4MV+63, Kayapınar","",5,11
"ASAF EMLAK","0532 359 21 78","Talaytepe, Kayapınar","https://asafemlak.com.tr/",5,33
"ARES PROPERTY AND CONSULTING SERVICES","0551 198 25 16","Arçel Panorama, Fırat, Mezopotamya Blv Sitesi No:2, Kayapınar","https://ares-emlak.sahibinden.com/",4.8,116
